Make,Model,Class,Combined MPG
Aston Martin Lagonda Ltd,Vantage V8,Two Seaters,21
Chevrolet,CORVETTE,Two Seaters,15
Chevrolet,CORVETTE,Two Seaters,18
Chevrolet,CORVETTE,Two Seaters,17
Chevrolet,CORVETTE,Two Seaters,15
Chevrolet,CORVETTE,Two Seaters,17
Chevrolet,CORVETTE,Two Seaters,19
"Ferrari North America, Inc.",488 gtb,Two Seaters,18
"Ferrari North America, Inc.",488 gtb,Two Seaters,18
"Ferrari North America, Inc.",488 Pista,Two Seaters,17
"Ferrari North America, Inc.",488 Spider,Two Seaters,18
"Ferrari North America, Inc.",488 Spider,Two Seaters,18
"Ferrari North America, Inc.",488 SS,Two Seaters,17
"Ferrari North America, Inc.",812 Superfast,Two Seaters,13
FIAT,124 Spider,Two Seaters,29
FIAT,124 Spider,Two Seaters,30
Jaguar,F-TYPE Convertible,Two Seaters,26
Jaguar,F-TYPE Convertible,Two Seaters,23
Jaguar,F-TYPE Convertible Manual,Two Seaters,19
Jaguar,F-TYPE Coupe,Two Seaters,26
Jaguar,F-TYPE Coupe,Two Seaters,23
Jaguar,F-TYPE Coupe Manual,Two Seaters,19
Jaguar,F-TYPE R AWD Convertible,Two Seaters,18
Jaguar,F-TYPE R AWD Coupe,Two Seaters,18
Jaguar,F-TYPE S AWD Convertible,Two Seaters,21
Jaguar,F-TYPE S AWD Coupe,Two Seaters,21
Jaguar,F-TYPE S Convertible,Two Seaters,22
Jaguar,F-TYPE S Convertible Manual,Two Seaters,18
Jaguar,F-TYPE S Coupe,Two Seaters,22
Jaguar,F-TYPE S Coupe Manual,Two Seaters,18
MAZDA,MX-5,Two Seaters,30
MAZDA,MX-5,Two Seaters,29
NISSAN,370Z,Two Seaters,22
NISSAN,370Z,Two Seaters,20
NISSAN,370Z Roadster,Two Seaters,21
Porsche,Boxster,Two Seaters,25
Porsche,Boxster,Two Seaters,24
Porsche,Boxster GTS,Two Seaters,22
Porsche,Boxster GTS,Two Seaters,21
Porsche,Boxster S,Two Seaters,24
Porsche,Boxster S,Two Seaters,22
Porsche,Cayman,Two Seaters,25
Porsche,Cayman,Two Seaters,24
Porsche,Cayman GTS,Two Seaters,22
Porsche,Cayman GTS,Two Seaters,21
Porsche,Cayman S,Two Seaters,24
Porsche,Cayman S,Two Seaters,22
Aston Martin Lagonda Ltd,DB11 V12,Minicompact Cars,17
Aston Martin Lagonda Ltd,DB11 V8,Minicompact Cars,20
"Ferrari North America, Inc.",GTC4Lusso,Minicompact Cars,13
"Ferrari North America, Inc.",GTC4Lusso T,Minicompact Cars,17
"Ferrari North America, Inc.",Portofino,Minicompact Cars,18
Mini,COOPER CONVERTIBLE,Minicompact Cars,30
Mini,COOPER CONVERTIBLE,Minicompact Cars,31
Mini,COOPER S CONVERTIBLE,Minicompact Cars,28
Mini,COOPER S CONVERTIBLE,Minicompact Cars,26
Mini,JOHN COOPER WORKS CONVERTIBLE,Minicompact Cars,28
Mini,JOHN COOPER WORKS CONVERTIBLE,Minicompact Cars,25
Porsche,911 Carrera,Minicompact Cars,25
Porsche,911 Carrera,Minicompact Cars,23
Porsche,911 Carrera 4,Minicompact Cars,24
Porsche,911 Carrera 4,Minicompact Cars,23
Porsche,911 Carrera 4 Cabriolet,Minicompact Cars,24
Porsche,911 Carrera 4 Cabriolet,Minicompact Cars,22
Porsche,911 Carrera 4 GTS,Minicompact Cars,22
Porsche,911 Carrera 4 GTS,Minicompact Cars,21
Porsche,911 Carrera 4 GTS Cabriolet,Minicompact Cars,22
Porsche,911 Carrera 4 GTS Cabriolet,Minicompact Cars,21
Porsche,911 Carrera 4S,Minicompact Cars,24
Porsche,911 Carrera 4S,Minicompact Cars,23
Porsche,911 Carrera 4S Cabriolet,Minicompact Cars,24
Porsche,911 Carrera 4S Cabriolet,Minicompact Cars,22
Porsche,911 Carrera Cabriolet,Minicompact Cars,24
Porsche,911 Carrera Cabriolet,Minicompact Cars,23
Porsche,911 Carrera GTS,Minicompact Cars,23
Porsche,911 Carrera GTS,Minicompact Cars,21
Porsche,911 Carrera GTS Cabriolet,Minicompact Cars,22
Porsche,911 Carrera GTS Cabriolet,Minicompact Cars,21
Porsche,911 Carrera S,Minicompact Cars,24
Porsche,911 Carrera S,Minicompact Cars,23
