MFI.Name,Fiscal.Year,Period.Type,As.of.Date,Gross.Loan.Portfolio,Cash.and.cash.equivalents,Net.loan.portfolio,Other.assets,Liabilities.and.equity,Net.fixed.assets,Assets,Average.assets
AAR Credit Services,2013,ANN,2013-12-31 00:00:00 UTC,6064268,315839,5599118,1751191,7784018,117869,7784018,8378823
AAR Credit Services,2014,ANN,2014-12-31 00:00:00 UTC,5741069,852747,4972488,1834560,7782738,122943,7782738,7789041
ACDF,2012,ANN,2012-12-31 00:00:00 UTC,67144,15698,63787,929,86276,5862,86276,12033658.5
ACDF,2013,ANN,2013-12-31 00:00:00 UTC,762567,228846,748840,694,987331,8951,987331,536804
BIMAS,2012,ANN,2012-12-31 00:00:00 UTC,4648871,3355573,-351349,3309480,7290318,659357.5,7290318,6628002
Century MFB,2012,ANN,2012-12-31 00:00:00 UTC,302154,320959,265421,426016,1087003,74607,1087003,1066288
Century MFB,2013,ANN,2013-12-31 00:00:00 UTC,1023516,186223,954158,533997,1892516,218138,1892516,1474199
ECLOF - KEN,2012,ANN,2012-12-31 00:00:00 UTC,5463426,1519786,5032346,2173037,9574466,849298,9574466,9979240
ECLOF - KEN,2017,ANN,2017-12-31 00:00:00 UTC,10257284,428433,9689564,6386903,17315271,810371,17315271,16723965
ECLOF - KEN,2018,ANN,2018-12-31 00:00:00 UTC,12910166,209198,12394887,5817548,19146938,725304,19146938,17554987
Equity Bank KEN,2012,ANN,2012-12-31 00:00:00 UTC,1469605110,411927991,1421718931,597235772,2506724739,75842044,2506724739,2302957423
Equity Bank KEN,2013,ANN,2013-12-31 00:00:00 UTC,1819894147,634817825,1758576241,263752863,2755284604,98137675,2755284604,2655333496
Equity Bank KEN,2014,ANN,2014-12-31 00:00:00 UTC,2159461547,322865883,2074106025,568090158,3046626139,81564074,3046626139,2915700311
Equity Bank KEN,2015,ANN,2015-12-31 00:00:00 UTC,2269302586,3355573,2214341397,3309480,3333294117,659357.5,3333294117,3182955776
